Facility ID,Station,Primary Network Affiliation,Market Rank,Licensed State,Latitude (degrees),Longitude (degrees)
1328,WABC-TV  ,ABC (US),1,NY,40.748333,-73.986111
282,KABC-TV  ,ABC (US),2,CA,34.226944,-118.066111
73226,WLS-TV   ,ABC (US),3,IL,41.878889,-87.635556
8616,WPVI-TV  ,ABC (US),4,PA,40.042500,-75.242500
34470,KGO-TV   ,ABC (US),6,CA,37.755278,-122.451667
35675,KTRK-TV  ,ABC (US),10,TX,29.574167,-95.493611
8617,WTVD     ,ABC (US),25,NC,35.668056,-78.533056
8620,KFSN-TV  ,ABC (US),54,CA,37.077222,-119.433333
61111,WMGM-TV  ,SonLife Broadcasting Network (US),4,NJ,39.124444,-74.765556
455,WADL     ,Independent (US),13,MI,42.554167,-82.887500
711,WCIQ     ,PBS (US),45,AL,33.485000,-85.808889
717,WBIQ     ,PBS (US),45,AL,33.484444,-86.806944
721,WEIQ     ,PBS (US),58,AL,30.659167,-87.892500
713,WHIQ     ,PBS (US),79,AL,34.736722,-86.529194
715,WFIQ     ,PBS (US),79,AL,34.578056,-87.783889
714,WDIQ     ,PBS (US),122,AL,31.554444,-86.392222
706,WAIQ     ,PBS (US),122,AL,32.381944,-86.292500
720,WIIQ     ,PBS (US),122,AL,32.362500,-87.875139
710,WGIQ     ,PBS (US),122,AL,31.717778,-85.434167
749,KLRN     ,PBS (US),32,TX,29.327222,-98.354722
804,KAKM     ,PBS (US),148,AK,61.422778,-149.872222
1051,WJLA-TV  ,ABC (US),7,DC,38.950278,-77.079722
72326,WHTM-TV  ,ABC (US),44,PA,40.316111,-76.950278
33543,KATV     ,ABC (US),57,AR,34.796944,-92.488750
35685,KTUL     ,ABC (US),60,OK,35.968889,-95.615278
73988,WSET-TV  ,ABC (US),69,VA,37.315000,-79.635000
21536,WGWG     ,Heroes & Icons (US),94,SC,32.924444,-79.699444
1222,WTLW     ,The Walk TV (US),188,OH,40.763056,-84.183056
19190,WUPW     ,FOX (US),77,OH,41.656111,-83.444722
71326,WDBD     ,FOX (US),95,MS,32.213722,-90.382278
2770,KETS     ,PBS (US),57,AR,34.441944,-92.217500
2777,KEMV     ,PBS (US),57,AR,35.813056,-92.290000
2768,KETG     ,PBS (US),57,AR,33.907222,-93.112778
2767,KAFT     ,PBS (US),100,AR,35.814722,-94.028056
92872,KETZ     ,PBS (US),137,AR,33.078056,-92.225000
2769,KTEJ     ,PBS (US),181,AR,35.903889,-90.770556
4190,WPBA     ,PBS (US),9,GA,33.758889,-84.335278
2728,KAET     ,PBS (US),12,AZ,33.333333,-112.063611
49157,WCCB     ,The CW (US),22,NC,35.266944,-80.734722
60963,WOLO-TV  ,ABC (US),78,SC,34.116111,-80.764167
9054,WFXB     ,FOX (US),102,SC,34.188611,-79.183333
701,WAKA     ,CBS (US),122,AL,32.149167,-86.778611
68427,WBMM     ,The CW (US),122,AL,32.068056,-85.944722
72307,WNCF     ,ABC (US),122,AL,32.149167,-86.778611
65204,WBBJ-TV  ,ABC (US),176,TN,35.637778,-88.692500
3646,WIPB     ,PBS (US),27,IN,40.093611,-85.392222
3667,WVII-TV  ,ABC (US),156,ME,44.759722,-68.566944
62468,KCKA     ,PBS (US),14,WA,46.554444,-123.057222
62469,KBTC-TV  ,PBS (US),14,WA,47.278889,-122.511667
54938,WAWD     ,Independent (US),58,FL,30.453917,-86.866500
72054,WFAA     ,ABC (US),5,TX,32.585000,-96.978056
34529,KHOU     ,CBS (US),10,TX,29.561111,-95.501111
34847,KING-TV  ,NBC (US),14,WA,47.631944,-122.349722
35396,KONG     ,Independent (US),14,WA,47.631944,-122.349722
40993,KTVK     ,Independent (US),12,AZ,33.333611,-112.062500
7143,KASW     ,The CW (US),12,AZ,33.333889,-112.062222
70034,KMOV     ,CBS (US),21,MO,38.529722,-90.299444
34874,KGW      ,NBC (US),24,OR,45.522500,-122.745833
32326,WCNC-TV  ,NBC (US),22,NC,35.346944,-81.170833
26304,KENS     ,CBS (US),32,TX,29.269722,-98.265278
74167,WVEC     ,ABC (US),42,VA,36.816389,-76.468333
35867,KVUE     ,ABC (US),39,TX,30.321667,-97.803056
32327,WHAS-TV  ,ABC (US),49,KY,38.356389,-85.847778
74192,WWL-TV   ,CBS (US),51,LA,29.906111,-90.039444
13938,WUPL     ,MyNetworkTV (US),51,LA,29.919722,-90.024722
44052,KMSB     ,FOX (US),70,AZ,32.415556,-110.713889
11908,KTTU     ,MyNetworkTV (US),70,AZ,32.415556,-110.713889
34868,KREM     ,CBS (US),73,WA,47.594722,-117.298056
35606,KSKN     ,The CW (US),73,WA,47.594722,-117.298056
34858,KTVB     ,NBC (US),107,ID,43.754444,-116.098889
28476,WDRB     ,FOX (US),49,KY,38.350000,-85.849167
34167,WMYO     ,MyNetworkTV (US),49,IN,38.350000,-85.849167
70852,WAND     ,NBC (US),85,IL,39.952361,-88.832306
28230,KTRV-TV  ,MyNetworkTV (US),107,ID,43.755000,-116.097778
37503,WLIO     ,NBC (US),188,OH,40.747500,-84.131806
5981,WBRA-TV  ,PBS (US),69,VA,37.196111,-80.154722
169028,KUGF-TV  ,PBS (US),191,MT,47.535889,-111.283917
6359,KSL-TV   ,NBC (US),34,UT,40.659167,-112.201944
2455,WCYB-TV  ,NBC (US),97,VA,36.449444,-82.108056
18334,WCTI-TV  ,ABC (US),99,NC,35.104167,-77.336667
8291,KRCR-TV  ,ABC (US),132,CA,40.602778,-122.650000
308,KTXS-TV  ,ABC (US),165,TX,32.413333,-100.106944
18079,KCFW-TV  ,NBC (US),164,MT,48.013333,-114.365278
18084,KECI-TV  ,NBC (US),164,MT,47.017778,-114.013056
18066,KTVM-TV  ,NBC (US),186,MT,46.007500,-112.441667
8263,KAEF-TV  ,ABC (US),195,CA,40.727500,-123.971389
6568,WBGU-TV  ,PBS (US),188,OH,41.136667,-83.906667
16455,WMDT     ,ABC (US),143,MD,38.501667,-75.735722
6744,WEFS     ,PBS (US),19,FL,28.609722,-81.059722
6823,KBYU-TV  ,PBS (US),34,UT,40.659167,-112.201944
